Tipo de inmueble,Delegaci√≥,Precio,¡rea total en metros cuadrados,¡rea construida en metros cuadrados,Precio por metro cuadrado,Latitud,Longitud
casa,Iztapalapa,1498321.97,80,80,18900,19.31033,-99.068557
departamento,Tlalpan,918284,100,100,9266.67,19.279771,-99.234597
departamento,Miguel Hidalgo,4376051.62,87,87,50758.62069,19.432657,-99.177444
departamento,Benito Ju√°re,3122244.47,100,100,31500,19.367025,-99.170349
casa,¡lvaro ObregÛn,2067789.37,205,205,10178.85854,19.340909,-99.22511
casa,Gustavo A. Madero,1585525.89,144,144,11111.11111,19.509359,-99.093272
casa,Miguel Hidalgo,4359347.04,304,304,14467.43421,19.432901,-99.213075
departamento,Benito Ju√°re,1248601.52,103,103,12233.00971,19.3794059,-99.1591446
casa,Cuauht√©mo,4845723.38,530,530,9224.150943,19.36269,-99.150565
casa,¡lvaro ObregÛn,700222.21,90,90,7849.411111,19.452952,-99.158166
casa,Gustavo A. Madero,2209826.65,120,120,18583.33333,19.342911,-99.224472
departamento,Miguel Hidalgo,19120927.99,149,149,6822.892617,19.491083,-99.07564
departamento,Iztacalco,1333148.73,56,56,24017.85714,19.407269,-99.190754
departamento,Benito Ju√°re,1283284.95,80,80,16187.5,19.4024128,-99.0953907
departamento,Azcapotzalco,455838.66,60,60,7666.666667,19.35782,-99.149406
departamento,Benito Ju√°re,4855673.26,120,120,40833.33333,19.504985,-99.208557
casa,Venustiano Carranza,1684621.29,220,220,7727.272727,19.376792,-99.153132
departamento,Coyoac√°,1770635.95,50,50,35736,19.433895,-99.091159
departamento,Cuauht√©mo,656035.96,16,16,41376.5625,19.354219,-99.126244
casa,Gustavo A. Madero,700108.79,90,90,7850,19.439716,-99.152892
casa,Tlalpan,2477971.72,331,150,16666.66667,19.543273,-99.148777
departamento,Miguel Hidalgo,32914875,734,734,2384.196185,19.26907789,-99.20353889
departamento,Benito Ju√°re,2674583.93,90,90,29988.88889,19.420166,-99.220367
departamento,Benito Ju√°re,1436882.88,90,90,16111.11111,19.367728,-99.156645
departamento,Miguel Hidalgo,21159562.5,260,260,4326.923077,19.400785,-99.147419
departamento,Tlalpan,2810709.32,87,87,32307.00368,19.430456,-99.1889121
departamento,¡lvaro ObregÛn,4182816.29,80,80,52285.20363,19.2745241,-99.1515694
departamento,Miguel Hidalgo,17822784.13,175,175,101844.4807,19.376482,-99.2587951
departamento,Iztacalco,2468426.03,254,254,9806.929134,19.407269,-99.190754
departamento,Benito Ju√°re,4855673.26,190,190,25789.47368,19.395901,-99.097612
casa,Coyoac√°,5748894.57,200,263,22053.23194,19.375658,-99.186109
departamento,Benito Ju√°re,1755044.45,114,114,15535.66667,19.30742737,-99.11703229
departamento,¡lvaro ObregÛn,754287.05,65,65,11710.35385,19.39177,-99.159996
departamento,Iztacalco,1280312.08,80,80,16150,19.366632,-99.1979
departamento,Cuajimalpa,3701212.05,83,83,45000,19.400731,-99.125466
casa,Gustavo A. Madero,14666115.2,804,804,18407.9602,19.35735,-99.299792
casa,Gustavo A. Madero,2190007.57,445,445,4966.292135,19.519724,-99.14607
departamento,Iztapalapa,741233.2,61,61,12262.29508,19.469479,-99.104805
casa,Xochimilco,3716076.4,124,124,30241.93548,19.337163,-99.080899
casa,¡lvaro ObregÛn,940415.03,60,60,15816.66667,19.279143,-99.130161
departamento,Cuajimalpa,10407481.65,320,320,32812.5,19.361606,-99.201739
departamento,Cuauht√©mo,733305.6,35,35,20951.58857,19.390415,-99.254997
casa,Iztapalapa,3319694.98,200,200,16750,19.45174195,-99.15707901
departamento,Miguel Hidalgo,19823774.55,190,190,105263.1579,19.374413,-99.105499
departamento,Cuauht√©mo,842510.39,55,55,15454.54545,19.430456,-99.1889121
casa,Venustiano Carranza,3815171.81,200,200,19250,19.435666,-99.14973
departamento,Cuauht√©mo,3894448.13,180,180,21833.33333,19.412011,-99.106233
departamento,Benito Ju√°re,4637663.38,120,120,39000,19.41498,-99.177444
casa,Xochimilco,2694072.17,90,90,30207.4,19.393401,-99.165187
departamento,Cuauht√©mo,2107427.53,112,112,18988.08929,19.276603,-99.137819
departamento,Tlahuac,1004371.45,60,60,16888.33333,19.431629,-99.162762
departamento,Miguel Hidalgo,674244.85,65,65,10467.69231,19.2990233,-99.0436467
departamento,Miguel Hidalgo,18796744.68,256,208,4804.6875,19.453854,-99.193979
casa,Iztapalapa,1784139.7,160,200,9000,19.407269,-99.190754
departamento,Azcapotzalco,563551.37,60,60,9478.266667,19.33836268,-99.07067131
casa,Iztapalapa,1327173.27,131,131,10223.58015,19.458968,-99.152898
departamento,Benito Ju√°re,3171051.78,90,90,35555.55556,19.345087,-99.10273
casa,Coyoac√°,983026.06,70,70,14171.42857,19.394073,-99.153915
departamento,Iztapalapa,676821.23,65,65,10507.69231,19.346749,-99.145944
casa,Iztacalco,3171803.93,180,264,12121.21212,19.332034,-99.062028
casa,¡lvaro ObregÛn,3846221.26,287,287,13523.80836,19.381207,-99.0978814
departamento,Benito Ju√°re,9265417.31,159,159,58805.03145,19.3398,-99.215945
departamento,Tlahuac,319126.64,50,50,6440.8,19.37539481,-99.16575876
departamento,Benito Ju√°re,2328741.13,147,147,15986.39456,19.305214,-99.046887
departamento,Cuajimalpa,1690963.33,47,47,36306.38298,19.387245,-99.147388
departamento,Benito Ju√°re,1989834.91,63,63,31873.01587,19.35735,-99.299792
casa,Miguel Hidalgo,75234000,713,451,8869.179601,19.366081,-99.139389
departamento,Benito Ju√°re,699613.19,64,64,11031.25,19.420166,-99.220367
casa,Iztapalapa,1451449.87,208,208,7041.826923,19.370272,-99.149127
departamento,Benito Ju√°re,1501294.84,70,70,21642.85714,19.366935,-99.077541
casa,Cuajimalpa,7134866.79,420,420,17142.85714,19.386715,-99.143999
departamento,Azcapotzalco,563684.91,70,70,8124.228571,19.367827,-99.289665
casa,¡lvaro ObregÛn,15461553,658,530,29432.07547,19.458968,-99.152898
departamento,Miguel Hidalgo,1283284.95,70,70,18500,19.3641188,-99.2640457
casa,Gustavo A. Madero,3666528.8,160,160,23125,19.445471,-99.17317
departamento,Miguel Hidalgo,986328.83,70,70,14219.04286,19.482945,-99.113471
departamento,Coyoac√°,1109528.27,100,100,11196.57,19.443903,-99.171681
casa,Azcapotzalco,5450245.5,310,310,17741.93548,19.314831,-99.140445
departamento,Coyoac√°,1178243.81,86,86,13825.5814,19.464928,-99.180214
casa,¡lvaro ObregÛn,3032318.4,200,200,15300,19.317741,-99.119331
departamento,Coyoac√°,2019051.28,80,80,25462.5,19.367477,-99.222025
departamento,Benito Ju√°re,1447135.39,60,60,24333.33333,19.305984,-99.127341
casa,Miguel Hidalgo,13377875.33,591,650,20769.23077,19.365843,-99.149901
casa,Iztapalapa,3536713.85,250,250,14276,19.401079,-99.24807
departamento,Miguel Hidalgo,31473636.07,228,228,7339.355263,19.383751,-99.071318
departamento,Benito Ju√°re,1486430.48,80,80,18750,19.407269,-99.190754
departamento,Benito Ju√°re,1290221.72,90,90,14466.66667,19.365843,-99.149901
departamento,Miguel Hidalgo,12421168.57,247,247,49392.71255,19.399841,-99.154813
departamento,Benito Ju√°re,2923313.36,73,73,40410.9589,19.407269,-99.190754
casa,Iztapalapa,1164370.47,90,90,13055.55556,19.394073,-99.153915
departamento,Cuajimalpa,14576587.5,360,360,2152.777778,19.363498,-99.015615
casa,Tlalpan,6442726.59,250,387,16795.86563,19.35735,-99.299792
