Perfil,Dudas,Fecha
Estudiante,como descargo mi constancia,01/11/2024
Estudiante,el lunes hay clases,01/11/2024
,,
Estudiante,que es el unip,01/11/2024
,,
Estudiante,apreciacion estudiantil,02/11/2024
,,
Profesor,porque no se me ha asignado numero de empleado,03/11/2024
,,
Estudiante,en donde estan los examenes,03/11/2024
,,
Administrador,libros de finanzas corporativas,03/11/2024
,,
Estudiante,cobtrol escolar,04/11/2024
,,
Estudiante,que dia salimos de vacaciones,04/11/2024
,,
Estudiante,cuando caduca mi credencial,05/11/2024
,,
Estudiante,donde puedo descargar el formato para llenarlo,05/11/2024
,,
Estudiante,cuantos creditos tienes que cursar,05/11/2024
,,
Coordinador,credencial,06/11/2024
,,
Estudiante,cuantos parciales se aplican por semestre,06/11/2024
,,
Estudiante,cuando son las vacaciones,07/11/2024
,,
Estudiante,cursos intensivos que ofrece la fca,07/11/2024
,,
Estudiante,beneficios de la credencial,07/11/2024
,,
Estudiante,eres una ai,08/11/2024
,,
Estudiante,cual es mi horario,08/11/2024
,,
Estudiante,cual es mi mapa curricular,08/11/2024
,,
Estudiante,examenes,08/11/2024
,,
Estudiante,como me doy de baja de la carrera,09/11/2024
,,
Estudiante,cuando empiezan los examenes ordinarios,09/11/2024
,,
Estudiante,mis examenes ya hechos,10/11/2024
,,
Estudiante,como realixo mi aprecicion estudiantil,12/11/2024
,,
Estudiante,el ordinario es acumulativo,12/11/2024
,,
Estudiante,como saco mi unip,12/11/2024
,,
Estudiante,apreciacion estudiantil,13/11/2024
,,
Estudiante,rutas del potro bus,13/11/2024
,,
Estudiante,como puedo generar un justificante,14/11/2024
,,
Coordinador,como obtengo mi unip,14/11/2024
,,
Estudiante,mapa curricular,14/11/2024
,,
Estudiante,cuando salimos de vacaciones,14/11/2024
,,
Estudiante,apreciacion estudiantil donde se realiza,15/11/2024
,,
Estudiante,como se que presentare ordinario,15/11/2024
,,
Estudiante,cuando se acaba el semestre,15/11/2024
,,
Estudiante,man?ana hay clases,17/11/2024
,,
Estudiante,como uedo recursar,18/11/2024
,,
Estudiante,hoja de inscripcion,21/11/2024
,,
Estudiante,mi contrasen?a de control escolar,23/11/2024
,,
Estudiante,becas,24/11/2024
,,
Estudiante,puedo regresar a estudfiar si nunca me di de baja y no asisti,24/11/2024
,,
Estudiante,con cuanto me voy a extra,25/11/2024
,,
Estudiante,cuando puedo pagar mis extraordinarios,25/11/2024
,,
Estudiante,validacion de tutorias,27/11/2024
,,
Coordinador,como genero mi hoja de referencia para pagar mi extra,28/11/2024
,,
Estudiante,cuanto se pasa un ordinario,30/11/2024
,,
Estudiante,me puedes ayudar con el reglamento universitario,30/11/2024
,,
Estudiante,hay maestria sabatina,30/11/2024
,,
Estudiante,cuando inicia el periodo vacacional,02/12/2024
,,
Estudiante,a aue hora cierra control escolar,02/12/2024
,,
Estudiante,hola me podrian proporcionar informes de las becas,02/12/2024
,,
Estudiante,como pasar el semestre,02/12/2024
,,
Estudiante,si me voy a 5 extraordinarios es baja definitiva,04/12/2024
,,
Estudiante,si repruebo me dan de baja,04/12/2024
,,
Estudiante,con cuanto paso un ordinario,04/12/2024
,,
Estudiante,examenes extraordinario,06/12/2024
,,
Estudiante,que regla se aplica si un compan?ero me copio un trabajo,08/12/2024
,,
Estudiante,como descargho mi certificado,09/12/2024
,,
Estudiante,precio de un extra,09/12/2024
,,
Administrador,cuantos extras tengo derecho en toda la carrera,10/12/2024
,,
Estudiante,cuando empiezan clases,11/12/2024
,,
Estudiante,cuando inicia el segundo semestre,11/12/2024
,,
Estudiante,cuando son las reincripciones,11/12/2024
,,
Estudiante,cuando me toca inscribirme,11/12/2024
,,
Estudiante,el reglamento,12/12/2024
,,
Profesor,seconli,13/12/2024
,,
Estudiante,explica como es recursar el semestre,13/12/2024
,,
Estudiante,cuando sale la beca de descuento,14/12/2024
,,
Estudiante,trayectoria,15/12/2024
,,
Estudiante,practicas profesionales,15/12/2024
,,
Estudiante,que becas hay,15/12/2024
,,
Estudiante,como genero la referencia de pago para mi extra,16/12/2024
,,
Estudiante,si saque 79 despues de mi 1 y 2 parcial y con mi ordinario presento el extra,16/12/2024
,,
Estudiante,cual es el ml precio del extraordinario,16/12/2024
,,
Estudiante,cuanto necesito para no presentar extraordinario,16/12/2024
,,
Estudiante,que pasa si me aplazaron,17/12/2024
,,
Estudiante,repetir primer semestre,17/12/2024
,,
Estudiante,cuando es el regreso a clases en 2025,17/12/2024
,,
Estudiante,cuando inicia el proximo semestre,17/12/2024
,,
Estudiante,plan de estudios,17/12/2024
,,
Estudiante,solicitar un certificado parcial,18/12/2024
,,
Estudiante,reinscripciones,19/12/2024
,,
Profesor,cuales cursos estan disponibles en este mes,19/12/2024
,,
Estudiante,preinscripcion,19/12/2024
,,
Estudiante,como puedo reincorporarme,20/12/2024
,,
Estudiante,costo reinscripcion,21/12/2024
,,
Estudiante,cuanto cuesta un titulo de suficiencia,28/12/2024
,,
Estudiante,puedo pagar mi inscripcion aunque ya se vencio si le reflejara,31/12/2024
,,
Estudiante,cuando son las inscripciones,01/01/2025
,,
Estudiante,modalidad de titulacion ensayo,01/01/2025
,,
Estudiante,modalidad de titulacion,01/01/2025
,,
Estudiante,inscripcion al segundo semestre,01/01/2025
,,
Estudiante,cuando son las nuevas inscripcion de semestre 2025,01/01/2025
,,
Estudiante,cuanto se paga para el papel de bachillerato,02/01/2025
,,
Estudiante,buenas tardes que dia son las inscripciones a segundo semestre,03/01/2025
,,
Estudiante,oferta de clases y maestros,03/01/2025
,,
Estudiante,programa 2025a,03/01/2025
,,
Estudiante,cuando inicia el ciclo escolar,04/01/2025
,,
Estudiante,credencial,05/01/2025
,,
Estudiante,extravie mi credencial de la escuela,05/01/2025
,,
Estudiante,horarios reinscripcion,06/01/2025
,,
Estudiante,listas de inscripcion,06/01/2025
,,
Estudiante,horarios 2025a,06/01/2025
,,
Estudiante,regreso clases,06/01/2025
,,
Estudiante,horarios,06/01/2025
,,
Estudiante,que dias me toca inscribirme,06/01/2025
,,
Estudiante,reinscripcion,06/01/2025
,,
Estudiante,oferta educativa,06/01/2025
,,
Estudiante,horario de inscripcion,06/01/2025
,,
Estudiante,horario,06/01/2025
,,
Estudiante,fechas de reinscripcion,06/01/2025
,,
Estudiante,me gustaria tener el plan de estudios en hd,06/01/2025
,,
Estudiante,plan de estudios,06/01/2025
,,
Estudiante,reinscripcion,07/01/2025
,,
Estudiante,fechas de inscripcion,07/01/2025
,,
Estudiante,que dia me toca inscribirme,07/01/2025
,,
Estudiante,inscripcion,07/01/2025
,,
Estudiante,poseso de reinscripcion,07/01/2025
,,
Estudiante,horarios,07/01/2025
,,
Estudiante,reinscripcion,07/01/2025
,,
Estudiante,que costo tiene un titulo de suficiencia,07/01/2025
,,
Estudiante,como reinicio mi contrasen?a de sitaa,07/01/2025
,,
Estudiante,sitta,07/01/2025
,,
Estudiante,tutoria,07/01/2025
,,
Estudiante,cuales son las fechas de reinscripcion 2 semestre,07/01/2025
,,
Estudiante,cuando son las reinscripciones,08/01/2025
,,
Estudiante,proceso de tesis,08/01/2025
,,
Estudiante,reinscripcion,08/01/2025
,,
Estudiante,como es el titulo de suficiencia,08/01/2025
,,
Estudiante,como me puedo dar de baja,08/01/2025
,,
Estudiante,cuando me puedo reinscribir a la facultad,09/01/2025
,,
Estudiante,horario de control escolar,09/01/2025
,,
Estudiante,cual es el horario de control escolar,09/01/2025
,,
Estudiante,control escolar,09/01/2025
,,
Estudiante,si paso el titulo cuando seria mi reincripcion,09/01/2025
,,
Estudiante,modaloidasd,09/01/2025
,,
Estudiante,modalidad,09/01/2025
,,
Estudiante,mi dni,10/01/2025
,,
Estudiante,inscripciones,10/01/2025
,,
Estudiante,becas,11/01/2025
,,
Estudiante,cuando llega la ficha de pago,12/01/2025
,,
Estudiante,proceso de reinscripsion,14/01/2025
,,
Estudiante,cuando son la evaluaciones de titulo de insuficiencia,14/01/2025
,,
Estudiante,para validar tutorias,15/01/2025
,,
Estudiante,reinscripcion,15/01/2025
,,
Estudiante,becas,15/01/2025
,,
Estudiante,obtencion de constancia,16/01/2025
,,
Estudiante,reglamento interno escolar,18/01/2025
,,
Estudiante,cuando es mi reinscripcion,18/01/2025
,,
Estudiante,convocatoria nueva de ingreso2025,18/01/2025
,,
Estudiante,convocatoria 2025,20/01/2025
,,
Estudiante,en el momento de generar mi hoja de reinscripcion no me deja pasar del paso 3,21/01/2025
,,
Estudiante,como visuliazo los cursos de didepa,21/01/2025
,,
Estudiante,como me puedo reinscribir,21/01/2025
,,
Estudiante,como se evalua el titulo de suficiencia,22/01/2025
,,
Estudiante,regreso a clases,23/01/2025
,,
Estudiante,como se si pase titulo de suficiencia,23/01/2025
,,
Estudiante,cedula,23/01/2025
,,
Estudiante,cual es mi cedula,23/01/2025
,,
Estudiante,me pueden dar de baja por no llevar mi vigencia de imms,26/01/2025
,,
Estudiante,por que razones me pueden dar de baja de la escuela,26/01/2025
,,
