ESPACIO UNIVERSITARIO,LINK
DIRECCIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES CAMPUS VIRTUAL,https://campusvirtual.uaemex.mx/MOOC/
"CASA DE LA CULTURA DE LA UAEM (TLÁLPAN, CDMX)",https://sic.uaemex.mx/museos-universitarios/casa-de-cultura-de-la-uaem-en-tlalpan.html
CENTRO DE ENSEÑANZA DE LENGUAS (VALLE DE MÉXICO),https://cuvalledemexico.uaemex.mx/oferta-educativa/idiomas/cele.html
CENTRO INTERNACIONAL DE LENGUA Y CULTURA,https://sevepe.uaemex.mx/idiomas/lengua-y-cultura/cursos.html
DIRECCIÓN DE APRENDIZAJE DE LENGUAS ,https://dal.uaemex.mx/
SECRETARIA PARTICULAR (CONSEJERÍA JURÍDICA UNIVERSITARIA),https://cj.uaemex.mx/
DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL UNIVERSITARIA,https://dgcsu.uaemex.mx/
RECTORÍA,https://www.uaemex.mx/
DIRECCIÓN GENERAL DE EVALUACIÓN Y CONTROL DE LA GESTIÓN UNIVERSITARIA,https://dgecgu.uaemex.mx/control-de-gesti%C3%B3n/acerca-de.html
SECRETARÍA ACADÉMICA,https://sacademica.uaemex.mx/
SECRETARÍA DE CENTROS UNIVERSITARIOS Y UNIDADES ACADÉMICAS PROFESIONALES,https://scuuap.uaemex.mx/
SECRETARÍA DE CIENCIA,https://ciencia.uaemex.mx/
SECRETARÍA DE DESARROLLO Y FORTALECIMIENTO INSTITUCIONAL,https://sdfi.uaemex.mx/
SECRETARÍA DE FINANZAS,https://sf.uaemex.mx/
SECRETARÍA DE GOBERNANZA UNIVERSITARIA,https://www.facebook.com/SRectoriaUAEM/?locale=es_LA
SECRETARÍA DE IDENTIDAD Y CULTURA,https://sic.uaemex.mx/espacios-culturales/centro-cultural-universitario-casa-de-las-diligencias/directorio-diligencias.html
"SECRETARÍA DE VINCULACIÓN, EXTENSIÓN Y PROMOCIÓN DE LA EMPLEABILIDAD",https://sevepe.uaemex.mx/
SECRETARÍA GESTIÓN Y ADMINISTRACIÓN UNIVERSITARIA,https://sgau.uaemex.mx/
Recepción DGCU Edificio UAEMITAS,https://dgecgu.uaemex.mx/control-de-gesti%C3%B3n/acerca-de.html
ESCUELA DE ARTES ESCÉNICAS,https://artesescenicas.uaemex.mx/
FACULTAD DE ANTROPOLOGÍA,https://antropologia.uaemex.mx/
FACULTAD DE ARTES,https://artes.uaemex.mx/
FACULTAD DE ARQUITECTURA Y DISEÑO,https://fad.uaemex.mx/
FACULTAD DE CIENCIAS,https://ciencias.uaemex.mx/
FACULTAD DE CIENCIAS AGRÍCOLAS,https://agricolas.uaemex.mx/
FACULTAD DE CIENCIAS DE LA CONDUCTA,https://cienciasdelaconducta.uaemex.mx/
FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,https://cienciaspoliticasysociales.uaemex.mx/
FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,https://fca.uaemex.mx/index.php
FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN UNIDAD “LOS URIBE”,https://fca.uaemex.mx/
FACULTAD DE DERECHO,https://derecho.uaemex.mx/
FACULTAD DE ECONOMÍA,https://economia.uaemex.mx/
FACULTAD DE ENFERMERÍA Y OBSTETRICIA,https://enfermeriayobstetricia.uaemex.mx/
FACULTAD DE GEOGRAFÍA,https://geografia.uaemex.mx/
FACULTAD DE HUMANIDADES,https://humanidades.uaemex.mx/
DEPARTAMENTO DE FILOLOGÍA “LUIS MARIO SCHNEIDER”,https://humanidades.uaemex.mx/
FACULTAD DE INGENIERÍA,https://ingenieria.uaemex.mx/
FACULTAD DE LENGUAS,https://lenguas.uaemex.mx/
FACULTAD DE MEDICINA,https://medicina.uaemex.mx/
CENTRO DE MEDICINA DE LA ACTIVIDAD FÍSICA Y EL DEPORTE,https://espmedacfisydep.uaemex.mx/
"LICENCIATURAS EN NUTRICIÓN, TERAPIA FÍSICA Y TERAPIA OCUPACIONAL",https://medicina.uaemex.mx/oferta-educativa/licenciatura-en-nutrici%C3%B3n.html
FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,https://veterinariayzootecnia.uaemex.mx/
FACULTAD DE ODONTOLOGÍA,https://odontologia.uaemex.mx/
FACULTAD DE PLANEACIÓN URBANA Y REGIONAL,https://fapur.uaemex.mx/
FACULTAD DE QUÍMICA,https://quimica.uaemex.mx/
FACULTAD DE QUÍMICA UNIDAD “EL CERRILLO”,https://quimica.uaemex.mx/conoce-tu-espacio/instalaciones/unidad-el-cerrillo.html
LABORATORIO DE MATERIALES DE LA FACULTAD DE QUÍMICA,https://quimica.uaemex.mx/servicios/internos/laboratorios.html
FACULTAD DE TURISMO Y GASTRONOMÍA,https://turismoygastronomia.uaemex.mx/
FACULTAD DE TURISMO UNIDAD “EL ROSEDAL” TALLERES DE GASTRONOMÍA,https://turismoygastronomia.uaemex.mx/conoce-tu-espacio/instalaciones.html
PLANTEL “ISIDRO FABELA” DE LA ESCUELA PREPARATORIA (PREPA ATLACOMULCO”,https://plantelisidrofabelaalfaro.uaemex.mx/
PLANTEL “CUAUHTÉMOC” DE LA ESCUELA PREPARATORIA (PREPA 3),https://plantelcuauhtemoc.uaemex.mx/
PLANTEL “DR. ÁNGEL MARÍA GARIBAY” DE LA ESCUELA PREPARATORIA (PREPA 5),https://plantelangelmagaribay.uaemex.mx/
PLANTEL “DR. PABLO GONZÁLEZ CASNOVA” DE LA ESCUELA PREPARATORIA (PREPA TENANCINGO),https://plantelpablogonzalezcasanova.uaemex.mx/
PLANTEL “IGNACIO RAMÍREZ CALZADA” DE LA ESCUELA PREPARATORIA (PREPA 4),https://plantelignacioramirez.uaemex.mx/
PLANTEL “JOSÉ IGNACIO PICHARDO PAGAZA” DE LA ESCUELA PREPARATORIA (PREPA 10),https://plantelignaciopichardo.uaemex.mx/
PLANTEL “LIC. ADOLFO LÓPEZ MATEOS” DE LA ESCUELA PREPARATORIA (PREPA 1),https://planteladolfolopezmateos.uaemex.mx/
PLANTEL “NEZAHUALCÓYOTL” DE LA ESCUELA PREPARATORIA (PREPA 2),https://plantelnezahualcoyotl.uaemex.mx/
PLANTEL “SOR JUANA INÉS DE LA CRUZ” DE LA ESCUELA PREPARATORIA (PREPA AMECAMECA),https://www.facebook.com/profile.php?id=100069246361910&sk=about
PLANTEL “TEXCOCO” DE LA ESCUELA PREPARATORIA (PREPA TEXCOCO),https://planteltexcoco.uaemex.mx/
CU AMECAMECA,https://cuamecameca.uaemex.mx//
CU ECATEPEC,https://cuecatepec.uaemex.mx/
CU NEZAHUALCÓYOTL,https://cunezahualcoyotl.uaemex.mx/
CU TEOTHUACÁN,https://cuteotihuacan.uaemex.mx/
CU TEXCOCO,https://cutexcoco.uaemex.mx/
CU VALLE DE CHALCO,https://cuvalledechalco.uaemex.mx/
CU ZUMPANGO,https://cuzumpango.uaemex.mx/
CU VALLE DE MÉXICO,https://cuvalledemexico.uaemex.mx/
CU TEMASCALTEPEC,https://cutemascaltepec.uaemex.mx/
CU TENANCINGO,https://cutenancingo.uaemex.mx/
UAP CHIMALHACÁN,https://uapchimalhuacan.uaemex.mx/
UAP ACOLMAN,https://uapacolman.uaemex.mx/
UAP CUAUTITLÁN IZCALLI,https://uapcuautitlanizcalli.uaemex.mx/
UAP TEJUPILCO,https://uaptejupilco.uaemex.mx/
UAP TIANGUISTENCO,https://uaptianguistenco.uaemex.mx/
UAP TLANEPANTLA,https://www.facebook.com/uaptlalnepantla.uaemex
